id,title,description,author,subject,publicationtype,publicationdateyear,issn,isbn,publisher,peerreviewed,language
EJ111775,An Essay on a Linguistic Issue: What is Black English?,"A discussion and clarification of various forms and levels of Black English is provided together with a conjugation of the verb ""to be"" outlining the levels of meanings as used by most divergent black speakers. (EH)","Bragdon\, Ida Brownlee","Black Dialects,Black Studies,Language Classification,Language Patterns,Language Styles,Language Typology,Urban Language",,1974,,,,T,
EJ111776,Rhyme or Reason? A Microscopic View of Nursery Rhymes,"A critique of Mother Goose Nursery Rhymes for their focusing on concepts of white supremacy, negative self-images, and unreal depictions of life. Examples are given of nursery rhymes written by black people for black children. (EH)","McDonald\, Mary Palmer","Black Literature,Books,Childrens Literature,Literary Criticism,Nursery Rhymes,Racial Discrimination",,1974,,,,T,
EJ111777,Language of the Disadvantaged: Toward Resolution of Conflict,"An examination of the language of the disadvantaged, particularly black dialect, exploring the conflicting views of the deficit and difference model theorists. The necessity of distinguishing between meaning and structure is emphasized as a potential avenue of reconciliation for the two divergent perspectives. (EH)","Somervill\, Mary Ann","Black Dialects,Cultural Differences,Dialect Studies,Educationally Disadvantaged,Language Acquisition,Language Instruction,Language Skills,Language Styles,Language Usage,Literature Reviews",,1974,,,,T,
EJ111778,An Argument for the Appreciation of Dialect Differences in the Classroom,"The educational practices and theories of linguists and educators concerning speakers of Black dialect are discussed in terms of three varying perspectives: (1) eradication; (2) bidialectalism; and, (3) appreciation of dialect differences. An arguement for the latter view is made and a list of suggestions relative to language instruction is suggested. (EH)","Dean\, Mary B.,Fowler\, Elaine D.","Black Culture,Black Dialects,Cultural Differences,English Curriculum,English Instruction,Language Arts,Language Instruction,Language Usage",,1974,,,,T,
EJ111779,On Rapping With the Inner-City Dude,An analysis of the communication process focusing on approaches to eliminating barriers to communication between teachers and inner-city students. An addendum lists instructional materials that are aimed at facilitating this process. (EH),"Greene\, John W.","Black Dialects,Communication (Thought Transfer),Communication Problems,Communication Skills,English Instruction,Language Arts,Urban Language",,1974,,,,T,
EJ111780,Teach Spanish to Black Students? Make it Relevant! Make it Black!,One effective manual of combatting black students' indifference to foreign language learning and to Spanish in particular is to use materials that are relevant to their interest and experience. (EH),"Harvey\, Maria Luisa Alvarez","Bilingual Education,Language Instruction,Language Programs,Language Teachers,Second Language Learning,Spanish",,1974,,,,T,
EJ111781,Black English and Implications for Teachers,"The report of a study of junior high school students using a word association technique that demonstrated the existence of a linguistically distinct ""Black English,"" which is quite diverse and is shared rather minimally by speakers not in contact with it. Educational implications of these findings are briefly discussed. (EH)","McKeag\, Robert A.","Association Measures,Black Dialects,Educational Strategies,Teacher Attitudes,Teacher Education",,1974,,,,T,
EJ111782,Teaching Writing Skills to Dialectically Different Students,"Dialectically different students can more easily be taught expository writing and reading skills if the teacher approaches the students' language and culture with a positive attitude, makes use of the students' cultural experiences, and selects reading materials with which students can relate to. (EH)","Williams\, Darnell","Black Dialects,Language Arts,Nonstandard Dialects,Reading Material Selection,Reading Skills,Writing Skills",,1974,,,,T,
EJ111783,The Black English Teacher: In a Quandery,The black teacher of English in the black college must not only expose his students to the traditional literary works and critical methods but must do this in such a way as to be responsive to the unique needs of his constituentcy and the emerging black consciousness of his race. (EH),"Alexander\, Sandra Carlton","Black Colleges,Black Literature,Black Teachers,English Curriculum,Literature Appreciation",,1974,,,,T,
EJ111784,Inner-City High School Teachers as Teachers of Reading: A Possible Solution to the Dropout Problem,"An evaluation of an in-service reading skills and learning to learn program, designed to enable high school and professional personnel to both teach and cope with students who need these skills revealed that there does exist an understanding of the dropout problem, there is a need for the development of fundamental reading skills, and that professional personnel want help and training in this area. (EH)","Rubin\, Dorothy","Dropout Prevention,Dropouts,Inner City,On the Job Training,Reading Instruction,Reading Skills,Remedial Programs,Remedial Reading,Urban Dropouts,Urban Schools,Urban Teaching",,1974,,,,T,
EJ111785,A Case for Ghettoese,"A variety of views on the legitimacy of Black English are discussed in terms of how it affects its users, especially in educational settings. (EH)","Cato\, Carl A.","Bilingual Education,Black Dialects,Language Usage,Nonstandard Dialects",,1974,,,,T,
EJ111786,A Test in Black History,"A multiple choice test focusing on the contributions of Black Americans to the development of the United States is presented with an accompanying bibliography. The test is not intended to be an evaluation device but is more of a stimulator, a diagnostic instrument, a reference tool, an awareness motivator, and an incentive for further investigation. (EH)","Coffin\, Gregory C.,And Others","Black History,Black Studies,Curriculum Enrichment,Diagnostic Tests,Research,Testing",,1974,,,,T,
EJ111787,Black Children's Books: An Overview,"A critical analysis of changing themes and developing trends in children's books about Afro-Americans published by major U.S. houses, focusing around three time periods: pre-1954, 1954-1966, and 1966-present. (EH)","Richardson\, Judy","Black Culture,Black Studies,Books,Childrens Literature,Literary Criticism,Literary History",,1974,,,,T,
EJ111788,Phillis Wheatley: A Black Perspective,"An historical analysis of the life of Phillis Wheatley, a black woman slave who wrote poetry during the Revolutionary period, interpreted from the perspective of her relationship to other black people of her time and the meaning of her life for black people today. (EH)","Smith\, Eleanor","Black Culture,Black History,Black Literature,Black Studies,Poetry,Slavery",,1974,,,,T,
EJ111789,Analysis of Selected Poetry of Phillis Wheatley,"A literary analysis of Phillis Wheatley, arguing that she was simply an 18th century poet who supported, praised, and imitated those who enslaved her and her fellow black people. (EH)","Jamison\, Angelene","Black Culture,Black History,Black Literature,Black Studies,Literary Criticism",,1974,,,,T,
EJ113458,Dimensions of Powerlessness Among Black and White High School Students,"This study examined empirically the structure of the powerlessness construct and compared the factorial structure of the concept across racial groups. The results suggested that powerlessness can be meaningfully interpreted as a general concept. However, with respect to the factorial structure of the individual dimensions of powerlessness, enough differences existed to discourage a multidimensional interpretation for the racially mixed sample. The response patterns of black students were considerably more complex than those of the white students. (EH)","Burbach\, Harold J.,Wagoner\, Jennings L.\, Jr.","Factor Analysis,High School Students,Individual Power,Locus of Control,Racial Differences",,1974,,,,T,
EJ113459,Racial Differences on a Black Intelligence Test,"In an investigation of racial differences on an ""intelligence"" test containing items specific to the Black environment, black subjects had a higher mean score than white subjects and there was no positive correlation between the Black Intelligence Test and the Shipley Institute of Living Scale, a traditional intelligence test. Thus, racial differences typically reported in test scores may well be a function of the instrument used rather than some innate characteristic of the individual. (EH)","Boone\, James A.,Adesso\, Vincent J.","Cultural Differences,Environmental Influences,Group Testing,Intelligence Differences,Intelligence Tests,Nature Nurture Controversy,Racial Differences,Socioeconomic Status,Test Bias",,1974,,,,T,
EJ113460,The U.S. Deparment of Education: A Reconstruction Promise to Black Americans,"An historical treatment of the Office of Education's establishment in 1867, the reform expectations which accompanied its creation, and a discussion of the reasons for its failure to become an effective force in providing equal education for blacks. (EH)","Warren\, Donald R.","Black Education,Educational Change,Educational History,Equal Education,Government Role",,1974,,,,T,
EJ113461,Sickle Cell Trait and Scholastic Achievement,"In a preliminary study, no significant interaction effects were found between scholastic achievement and sickle cell trait in black children currently in eight and ninth grades, as measured by the Iowa Tests of Basic Skills over a consecutive period of four years, 1968 through 1971, grades four through seven. (EH)","Jackson\, Yvonne,Ayrer\, James","Academic Achievement,Black Students,Sickle Cell Anemia,Special Health Problems",,1974,,,,T,
EJ113462,"Florida and the School Desegregation Issue, 1954-1959: A Summary View","An account of the State of Florida's attempts to resist the desegregation mandate of the 1954 &quot;Brown&quot; decision, as initial public school integration did not take place until 1959. (EH)","Tomberlin\, Joseph A.","American History,Equal Education,Public Schools,School Desegregation,School Segregation,Southern Schools",,1974,,,,T,
EJ113463,Educational Policy Priorities and the Multi-Cultural Curriculum,A report on the multi-cultural curriculum as it fits into a structure of educational change priorities held by a large number of high school teachers and principals in a Western state. Also discussed are the positive/negative perspectives of these teachers and principals regarding this curriculum as an instrument for increasing learning among minority group students. Recommendations for improved acceptance are made. (EH),"Hanson\, Mark,Dyer\, Larry","Cultural Education,Cultural Pluralism,Curriculum Development,Educational Policy,Equal Education,Minority Group Children",,1974,,,,T,
